"","...1","Date","Visitor","Visitor_Score","Home","Home_Score","OT","Division","Home_Prob","Visitor_Prob","Home_Elo_Before","Visitor_Elo_Before","Home_Elo_After","Visitor_Elo_After","Tie","Elo_Diff"
"122",122,2023-10-20,"Clarkson",5,"Robert Morris",1,0,"Non-Conference",0.1371058012853,0.8628941987147,1431.17705370659,1765.73774089142,1414.45014594979,1782.46464864823,0,334.560687184828
"123",123,2023-10-20,"Northeastern",0,"St. Cloud State",2,0,"Non-Conference",0.311656063953335,0.688343936046665,1586.3652092714,1739.0171730292,1659.32966649235,1666.05271580826,0,152.651963757801
"124",124,2023-10-20,"Syracuse",4,"Boston University",4,1,"Non-Conference",0.659680838541024,0.340319161458976,1420.24817762505,1320.26919080995,1405.87690215635,1334.64046627864,1,99.9789868150954
"125",125,2023-10-20,"Cornell",3,"Mercyhurst",3,1,"Non-Conference",0.24638462864486,0.75361537135514,1452.19454045679,1661.40899580479,1475.01992387875,1638.58361238283,1,209.214455348006
"126",126,2023-10-20,"Lindenwood",4,"Sacred Heart",2,0,"Non-Conference",0.450758643684208,0.549241356315792,1249.73590844996,1299.06357544762,1201.95549221943,1346.84399167815,0,49.3276669976649
"127",127,2023-10-20,"Yale",3,"Princeton",0,0,"ECAC",0.42658323964096,0.57341676035904,1648.19685639436,1714.58349425153,1599.56636707529,1763.2139835706,0,66.3866378571661
"128",128,2023-10-20,"Union",3,"Harvard",1,0,"ECAC",0.523041093081179,0.476958906918821,1324.20176254545,1323.17982355944,1268.75940667884,1378.62217942604,0,1.0219389860074
"129",129,2023-10-20,"Rensselaer",5,"Dartmouth",4,1,"ECAC",0.620492542448255,0.379507457551745,1493.50583040343,1423.09932971581,1432.6975612435,1483.90759887574,0,70.4065006876217
"130",130,2023-10-20,"Brown",0,"Quinnipiac",1,0,"ECAC",0.926472798586325,0.0735272014136753,1791.17622665898,1366.02237199096,1798.38189239752,1358.81670625242,0,425.153854668024
"131",131,2023-10-20,"Stonehill",2,"Saint Anselm",4,0,"NEWHA",0.682658608328653,0.317341391671347,1326.09270559367,1208.02196595879,1359.73089311083,1174.38377844163,0,118.070739634877
"132",132,2023-10-21,"Saint Anselm",0,"Stonehill",4,0,"NEWHA",0.272773378137605,0.727226621862395,1174.38377844163,1359.73089311083,1263.10542630884,1271.00924524362,0,185.347114669202
"133",133,2023-10-21,"Post",4,"Assumption",5,1,"NEWHA",0.666674620560149,0.333325379439851,1230.2516967018,1124.83348060143,1262.91758388691,1092.16759341632,0,105.418216100373
"134",134,2023-10-21,"Clarkson",2,"Robert Morris",1,0,"Non-Conference",0.115872090781468,0.884127909218532,1414.45014594979,1782.46464864823,1403.0946810532,1793.82011354481,0,368.014502698441
"135",135,2023-10-21,"Northeastern",4,"Sacred Heart",1,0,"Non-Conference",0.0700962733167658,0.929903726683234,1201.95549221943,1666.05271580826,1193.96451706132,1674.04369096637,0,464.097223588824
"136",136,2023-10-21,"Cornell",3,"Mercyhurst",1,0,"Non-Conference",0.298342898062645,0.701657101937355,1475.01992387875,1638.58361238283,1443.39557668411,1670.20795957747,0,163.56368850408
